,age,gender,year,visits,population
822,33,1,2012,109130,31675
823,33,1,2013,109404,32485
824,33,2,2006,51490,35453
825,33,2,2007,51435,34397
826,33,2,2008,52004,34269
827,33,2,2009,50465,33285
828,33,2,2010,49528,32672
829,33,2,2011,51187,32098
830,33,2,2012,54290,33611
831,33,2,2013,52880,34482
839,34,1,2006,104484,35013
840,34,1,2007,105384,34658
841,34,1,2008,107721,33448
842,34,1,2009,106261,33738
843,34,1,2010,104424,32620
844,34,1,2011,104889,31672
845,34,1,2012,104825,31157
846,34,1,2013,107384,32129
847,34,2,2006,54121,35768
848,34,2,2007,53892,35790
849,34,2,2008,55132,35096
850,34,2,2009,54048,34974
851,34,2,2010,52270,33756
852,34,2,2011,52760,33216
853,34,2,2012,53297,32864
854,34,2,2013,54689,34396
862,35,1,2006,103556,34636
863,35,1,2007,104888,35207
864,35,1,2008,107489,34966
865,35,1,2009,106465,33798
866,35,1,2010,105563,34138
867,35,1,2011,106196,32950
868,35,1,2012,103905,32019
869,35,1,2013,102646,31601
870,35,2,2006,54393,35626
871,35,2,2007,55962,36106
872,35,2,2008,56887,36431
873,35,2,2009,57927,35792
874,35,2,2010,55776,35345
875,35,2,2011,55527,34207
876,35,2,2012,54467,33971
877,35,2,2013,54401,33555
886,36,1,2006,101480,35759
887,36,1,2007,104059,34842
888,36,1,2008,107134,35457
889,36,1,2009,106254,35312
890,36,1,2010,106370,34121
891,36,1,2011,108102,34466
892,36,1,2012,103579,33271
893,36,1,2013,100804,32379
894,36,2,2006,57140,36869
895,36,2,2007,56898,35914
896,36,2,2008,58609,36746
897,36,2,2009,58696,37014
898,36,2,2010,59056,36144
899,36,2,2011,58233,35826
900,36,2,2012,56747,34873
901,36,2,2013,54405,34571
909,37,1,2006,101649,35467
910,37,1,2007,101607,35933
911,37,1,2008,105206,35065
912,37,1,2009,105457,35768
913,37,1,2010,106042,35598
914,37,1,2011,108540,34391
915,37,1,2012,107335,34768
916,37,1,2013,102398,33584
917,37,2,2006,58695,36818
918,37,2,2007,57786,37154
919,37,2,2008,59614,36518
920,37,2,2009,60716,37347
921,37,2,2010,61580,37338
922,37,2,2011,62360,36500
923,37,2,2012,59597,36400
